Date and Time: 2023-12-13 15:54:38.619476
Date and Time: 2023-12-13 16:03:24.891071
Winner: AARON KATARIA Wins!,HARRY MEHTA: 7,AARON KATARIA: 10, Date and Time: 2023-12-26 21:49:31
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 2, Date and Time: 2024-01-02 14:30:53
Winner: AARON KATARIA Loses!,HARRY MEHTA: 1,AARON KATARIA: -1, Date and Time: 2024-01-02 14:31:00
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 3, Date and Time: 2024-01-02 14:32:54
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 3, Date and Time: 2024-01-02 14:34:40
Winner: AARON KATARIA Loses!,HARRY MEHTA: 1,AARON KATARIA: -1, Date and Time: 2024-01-02 14:36:35
Winner: AARON KATARIA Loses!,HARRY MEHTA: 1,AARON KATARIA: -1, Date and Time: 2024-01-02 14:37:23
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 3, Date and Time: 2024-01-02 14:37:49
Winner: AARON KATARIA Loses!,HARRY MEHTA: 2,AARON KATARIA: -1, Date and Time: 2024-01-02 14:38:12
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 1, Date and Time: 2024-01-02 14:38:20
Winner: HARRY MEHTA Loses!,HARRY MEHTA: -1,AARON KATARIA: 0, Date and Time: 2024-01-02 14:38:31
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 7, Date and Time: 2024-01-02 14:40:08
Winner: AARON KATARIA Loses!,HARRY MEHTA: 1,AARON KATARIA: -1, Date and Time: 2024-01-02 14:40:34
Winner: HARRY MEHTA Wins!,HARRY MEHTA: 10,AARON KATARIA: 9, Date and Time: 2024-01-02 14:42:24
Winner: AARON KATARIA Loses!,AARON KATARIA: -1,HARDIK MEHTA: 2, Date and Time: 2024-01-07 19:47:20
Winner: HARDIK MEHTA Wins!,AARON KATARIA: 7,HARDIK MEHTA: 10, Date and Time: 2024-01-07 19:50:29
Winner: AARON KATARIA Loses!,AARON KATARIA: -1,HARDIK MEHTA: 0, Date and Time: 2024-01-07 19:50:39
Winner: AARON KATARIA Loses!,AARON KATARIA: -1,HARDIK MEHTA: 0, Date and Time: 2024-01-07 19:51:02
Winner: HARDIK MEHTA Wins!,AARON KATARIA: 0,HARDIK MEHTA: 10, Date and Time: 2024-01-07 19:53:08
Winner: PAPPU KATARIA Loses!,PAPPU KATARIA: -1,HARDIK MEHTA: 2, Date and Time: 2024-01-07 19:53:34
Winner: PAPPU KATARIA Loses!,PAPPU KATARIA: -1,PAPPU MEHTA: 1, Date and Time: 2024-01-07 19:54:59
Winner: PAPPU MEHTA Wins!,PAPPU KATARIA: 7,PAPPU MEHTA: 10, Date and Time: 2024-01-07 19:57:59
Winner: PAPPU MEHTA Wins!,PAPPU KATARIA: 6,PAPPU MEHTA: 10, Date and Time: 2024-01-07 20:00:15
Winner: Player 1 Wins!,Player 1: 10,Player 2: 0, Date and Time: 2024-02-07 23:49:53
